kind,code,title,duration,description,url,thumbnail_url
combine,3606,Extra Sharp,2:46,,https://www.showrunnerstudio.com/app/combine/3606,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3606_avc_1080p.png
combine,3605,Carbonara's Call,0:45,,https://www.showrunnerstudio.com/app/combine/3605,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3605_avc_1080p.png
episode,e4ac61ce-3659-4ba4-9af3-fdbf6985491d,The Prismatic Panic,2:00,,https://www.showrunnerstudio.com/app/episode/e4ac61ce-3659-4ba4-9af3-fdbf6985491d,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3584_avc_1080p.png
episode,7cf79d29-a7ce-4328-959a-63ed184f560c,The Dose is Wrong,2:00,,https://www.showrunnerstudio.com/app/episode/7cf79d29-a7ce-4328-959a-63ed184f560c,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3586_avc_1080p.png
combine,3586,The Dose is Wrong,2:00,,https://www.showrunnerstudio.com/app/combine/3586,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3586_avc_1080p.png
combine,3584,The Prismatic Panic,2:00,,https://www.showrunnerstudio.com/app/combine/3584,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3584_avc_1080p.png
episode,9a9cafbe-1e8b-409a-b1d9-b49319221e87,Efficiency Is Eternity,3:01,,https://www.showrunnerstudio.com/app/episode/9a9cafbe-1e8b-409a-b1d9-b49319221e87,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/combined_2026-07-17T14_42_09_916Z.png
episode,0c683db6-243b-4f89-a4a8-9df265be600f,The Fractured Lattice,1:00,,https://www.showrunnerstudio.com/app/episode/0c683db6-243b-4f89-a4a8-9df265be600f,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/combined_2026-06-10T11_45_07_921Z.png
episode,872d0751-536b-4326-a066-aa698605512e,Mother Nature's Price,0:45,,https://www.showrunnerstudio.com/app/episode/872d0751-536b-4326-a066-aa698605512e,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/combined_2026-06-10T11_47_07_771Z.png
episode,66d5efdc-64e8-4a74-9534-b7f50f568bf7,Don't Blink,0:30,,https://www.showrunnerstudio.com/app/episode/66d5efdc-64e8-4a74-9534-b7f50f568bf7,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/combined_2026-06-09T21_32_23_011Z.png
episode,1e8e367f-b338-460a-826d-23c71c80690b,Don't Blink,0:45,,https://www.showrunnerstudio.com/app/episode/1e8e367f-b338-460a-826d-23c71c80690b,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/combined_2026-06-10T11_46_33_042Z.png
